Parameter,frequency,amplitude,Percent_change,Percent_change_amp
original,0.0426584762392287,0.801495362648562,0,0
k3 (+ 10%),0.0428687786684957,0.779691059685722,0.4929909546877,-2.72045279099149
v4 (+ 10%),0.0422582826233942,0.872069836305463,-0.938133874239352,8.80535021733455
v1 (+ 10%),0.0422707866593397,0.861192618190827,-0.908821913175797,7.44823467786436
v1L (+ 10%),0.0426584762392287,0.801495362648562,0,0
v2A (+ 10%),0.0429636493829241,0.749141222023872,0.715386883450565,-6.53205783395731
v2B (+ 10%),0.0430579593904344,0.758962755972741,0.936468403056255,-5.30665661436521
v2L (+ 10%),0.0426584762392287,0.801495362648562,0,0
v3 (+ 10%),0.0425567423230975,0.821815630851628,-0.238484646194934,2.53529454442721
k1L (+ 10%),0.0438356164383562,0.738330649258728,2.75945205479452,-7.88085824740195
k1D (+ 10%),0.0426584762392287,0.801495362648562,0,0
k2 (+ 10%),0.0428173838578463,0.912945599554023,0.372511239563251,13.9052878031846
k4 (+ 10%),0.043412923693438,0.726664577270199,1.76857572215728,-9.33639654895607
p1 (+ 10%),0.042396235214313,0.789498015346908,-0.614745410607558,-1.49687045749192
p1L (+ 10%),0.0425170068027211,0.794796023325694,-0.331632653061228,-0.835855032364755
p2 (+ 10%),0.0433618160948859,0.709351426475232,1.64876928963142,-11.4965027207192
p3 (+ 10%),0.0425567423230975,0.821816522451811,-0.238484646194934,2.53540578651602
p4 (+ 10%),0.0422582826233942,0.872069836305463,-0.938133874239352,8.80535021733451
d1 (+ 10%),0.0437280288090543,0.796358971775098,2.50724513418502,-0.640850978412438
d2D (+ 10%),0.0426584762392287,0.801495362648562,0,0
d2L (+ 10%),0.0427825789338581,0.931241957207611,0.290921536750232,16.1880655341908
d3D (+ 10%),0.0426584762392287,0.801495362648562,0,0
d3L (+ 10%),0.0428467372209606,0.780367527685145,0.441321393375903,-2.63605205320213
d4D (+ 10%),0.0426584762392287,0.801495362648562,0,0
d4L (+ 10%),0.0434301285872435,0.729263685332334,1.80890743421612,-9.01211419084646
K1 (+ 10%),0.042004200420042,0.896307095054561,-1.53375337533754,11.8293550810689
K2 (+ 10%),0.0426839679016561,0.803905122046537,0.0597575550623114,0.30065793394137
K3 (+ 10%),0.0426530177010023,0.820412144740178,-0.0127959053102962,2.36018609379166
K4 (+ 10%),0.0429202970084553,0.760530838675312,0.613760247220903,-5.11101197614941
K5 (+ 10%),0.0437993816557884,0.662527644584553,2.67451047749914,-17.3385554727087
K6 (+ 10%),0.0426876120549816,0.80406811940164,0.0683001792879699,0.320994589984475
K7 (+ 10%),0.0426003237624606,0.808836036197859,-0.136321036039885,0.915872242234845
K8 (+ 10%),0.0430488731324386,0.79355042538999,0.915168397062541,-0.991264282842263
K9 (+ 10%),0.0425188145754496,0.815604087988247,-0.327394872230967,1.76030030829657
K10 (+ 10%),0.041926927355181,0.878830639060464,-1.71489689398477,9.64887384455296
k3 (- 10%),0.0423818605636787,0.828454657759377,-0.648442466624275,3.36362459063119
v4 (- 10%),0.0431034482758621,0.729339419618245,1.04310344827585,-9.00266506744041
v1 (- 10%),0.0430941607412196,0.73761390835469,1.0213316095669,-7.97028370604338
v1L (- 10%),0.0426584762392287,0.801495362648562,0,0
v2A (- 10%),0.0423423804886311,0.857541464357888,-0.740991658551041,6.99269195072083
v2B (- 10%),0.0422468422640859,0.846932709088251,-0.964952364529901,5.66907165745048
v2L (- 10%),0.0426584762392287,0.801495362648562,0,0
v3 (- 10%),0.0427601240882032,0.781904280117637,0.238282887566002,-2.4443163920731
k1L (- 10%),0.0413561366475682,0.871871730496812,-3.0529444707707,8.78063319239797
k1D (- 10%),0.0426584762392287,0.801495362648562,0,0
k2 (- 10%),0.0425314732902348,0.678443271970832,-0.297720313031643,-15.3528138043246
k4 (- 10%),0.041819578390373,0.891511833194253,-1.96654433728771,11.2310656730726
p1 (- 10%),0.0429347139790378,0.813100109226641,0.647556509660301,1.44788692722196
p1L (- 10%),0.0428013931433847,0.808837991991013,0.335025806722332,0.916116260259779
p2 (- 10%),0.0419287211740042,0.906673565330162,-1.71069182389938,13.1227462544557
p3 (- 10%),0.0427601240882032,0.781904280117637,0.238282887566002,-2.44431639207308
p4 (- 10%),0.0431034482758621,0.729339419618245,1.04310344827585,-9.00266506744034
d1 (- 10%),0.041457937467611,0.80402709603179,-2.81430298842635,0.315876235997455
d2D (- 10%),0.0426584762392287,0.801495362648562,0,0
d2L (- 10%),0.0425767445821092,0.662193175536451,-0.191595350619498,-17.3802861006934
d3D (- 10%),0.0426584762392287,0.801495362648562,0,0
